id,name,sort_name,institution,country,region,research_area_1,research_area_2,keywords,website,website_2,career_stage,roster,notes,source
ganley-rebecca,"Ganley, Rebecca","ganley, rebecca",Scion Research,,Australia/NZ,,,forest pathogens and endophytes,http://www.scionresearch.com/general/about-us/our-people/people/fs/beccy-ganley,,Senior,faculty,,wrifo-workbook; airtable
gardes-monique,"Gardes, Monique","gardes, monique",Paul Sabatier University,FR,Europe,Ecology,Genetics/Genomics,Ectomycorrhizal fungi; Symbiosis; Ecology; Phylogeny,https://www.researchgate.net/profile/Monique_Gardes,,Senior,faculty,,wrifo-workbook; airtable
garzon-carla,"Garzon, Carla","garzon, carla",Oklahoma State University,US,North America,Plant Pathology,Genetics/Genomics,Population biology; Soilborne; Pythium; hormesis,http://entoplp.okstate.edu/profiles/profiles/garzon.html,,Intermediate,faculty,,wrifo-workbook; airtable
gasch-audrey,"Gasch, Audrey","gasch, audrey",Univ Wisconsin,US,North America,Genetics/Genomics,Biotechnology,Evolution; Genomics; Saccharomyces,http://genetics.wisc.edu/Gasch.htm,,Intermediate,faculty,,wrifo-workbook; airtable
gaulin-elodie,"Gaulin, Elodie","gaulin, elodie",University of Toulouse,FR,Europe,Plant Pathology,Genetics/Genomics,Oomycetes; Genomics; Signaling; Plant-Microbe interactions,https://www.researchgate.net/profile/Elodie_Gaulin,,Intermediate,faculty,,wrifo-workbook; airtable
gauthier-nicole,"Gauthier, Nicole","gauthier, nicole",Univ Kentucky,US,North America,,,Plant Pathology; diseases of tree and fruit crops; ornamentals; bitter rot,http://www2.ca.uky.edu/agcollege/plantpathology/people/ward.htm,,Junior,faculty,,wrifo-workbook; airtable
gaya-ester,"Gaya, Ester","gaya, ester","Royal Botanical Gardens, Kew",GB,Europe,Evolution,Ecology,Systematics; Fungal biodiversity; Taxonomy,https://www.kew.org/science/who-we-are-and-what-we-do/people/ester-gaya,,Intermediate,faculty,,wrifo-workbook; airtable
gazis-romina,"Gazis, Romina","gazis, romina",Univ of Florida,US,North America,Evolution,Ecology,,http://trec.ifas.ufl.edu/faculty/romina-gazis/,,Junior,faculty,,wrifo-workbook; airtable
geddes-mcalister-jennifer,"Geddes-McAlister, Jennifer","geddes-mcalister, jennifer",University of Guelph,CA,North America,Medical Mycology,Biochemistry,fungal host pathogen interactions; proteomics,https://www.uoguelph.ca/mcb/people/dr-jennifer-geddes-mcalister,,Junior,faculty,,wrifo-workbook; airtable
gerstein-aleeza,"Gerstein, Aleeza","gerstein, aleeza",University of Manitoba,CA,North America,Evolution,Medical Mycology,genetics/genomics; ploidy; Candida; RVVC; Evolution,https://microstatslab.ca,,Junior,faculty,,wrifo-workbook; airtable
giovannetti-manuela,"Giovannetti, Manuela","giovannetti, manuela",University of Pisa,IT,Europe,,,,http://unimap.unipi.it/cercapersone/dettaglio.php?ri=226&template=dettaglio.tpl,,Senior,faculty,,wrifo-workbook; airtable
giraud-tatiana,"Giraud, Tatiana","giraud, tatiana",Univ Paris-Sud,FR,Europe,Evolution,Genetics/Genomics,Evolution; Microbotryum; Anther smut; Penicillium; Apple scab; Speciation; Co-speciation; Mating type evolution; Sex evolution; Invasive pathogens; Hybridization; Host jump,http://www.ese.u-psud.fr/article211.html?lang=en,,Senior,faculty,,wrifo-workbook; airtable
