Name,Institution (Country code),Region (select from pulldown),Research Area 1 (select from pulldown),Research Area 2 (select from pulldown),Keywords,"Lab website (research website, Not linkedIn etc)",Career Stage Jr=asst prof or equiv; Sr=full prof or equiv),
"Schmoll, Monika",Austrian Institute of Technology (AU),Europe,Genetics/Genomics,Cell biology,Genomics; Light regulation; Biotechnology; Trichoderma,http://www.ait.ac.at/profile/detail/Schmoll-Monika/,Junior,
"Shapiro, Rebecca",Univ of Guelph (CA),North America,Genetics/Genomics,Medical Mycology,Candida; Antifungal; Genetics; CRISPR,https://www.uoguelph.ca/mcb/people/dr-rebecca-shapiro,Junior,
"Shepardson, Kelly",University of California Merced (US),North America,Medical Mycology,Genetics/Genomics,Aspergillus,,Junior,
"Shlezinger, Neta",The Hebrew University of Jerusalem (IS),Europe,Medical Mycology,Immunology,"Microbial pathogenesis, mycoviruses, immunology, Aspergillus","www.shlezingerlab.com , https://zuckerman-scholars.org/lab/the-shlezinger-lab/",Junior,
"Skrede, Inger",Univ Oslo (NO),Europe,Evolution,Genetics/Genomics,Genomics; Speciation; Serpula,https://www.mn.uio.no/ibv/english/people/aca/iskrede/,Junior,
"Snelders, Eveline",Wageningen University (NL),Europe,Medical Mycology,Genetics/Genomics,"Antifungal resistance, fungal genetics, Aspergillus fumigatus, Self non self recognition, Meisosis, Heterkaryosis, CRIPSRcas9",https://www.wur.nl/en/persons/eveline-e-eveline-snelders-phd-msc.htm,Junior,
"Stewart, Jane",Colorado State University (US),North America,Plant Pathology,Genetics/Genomics,Evolution; Species concepts; Population genetics; Forest and Plant Pathogens,https://agbio.agsci.colostate.edu/people-button/faculty/jane-stewart/,Junior,
Sundy Maurice,University of Oslo (NO),Europe,Evolution,Ecology,"Wood decay, Polypores, species traits; population genetics",http://www.mn.uio.no/ibv/english/people/aca/sandym/index.html,Junior,
"Talbot, Jenny",Boston Univ,North America,Ecology,Evolution,Microbial Ecology; Mushrooms,https://microbesatbu.wordpress.com/jenny/,Junior,
"Tan, Yu Pei",Queensland Plant Pathology Herbarium,Australia/NZ,Evolution,Plant Pathology,Taxonomy; phylogeny; diagnostics,http://collections.daff.qld.gov.au/web/staff.html,Junior,
"Toome-Heller, Merje","Ministry for Primary Industries, Wellington (NZ)",Australia/NZ,Plant Pathology,Evolution,Rust fungi; Evolution; Phylogeny; Systematics; Taxonomy; Genomics,https://www.researchgate.net/profile/Merje_Toome-Heller,Junior,
"Tran-Nguyen, Lucy",Northern Territory Department of Primary Industries and Resources,Australia/NZ,Plant Pathology,Genetics/Genomics,Diagnostics,,Junior,
