Name,Institution (Country code),Region (select from pulldown),Research Area 1 (select from pulldown),Research Area 2 (select from pulldown),Keywords,"Lab website (research website, Not linkedIn etc)",Career Stage Jr=asst prof or equiv; Sr=full prof or equiv),
"Blackwell, Meredith",Louisiana State Univ,North America,Evolution,,Yeasts; Insect-Fungi; Evolution,,Emeritus,
"Howlett, Barbara",University of Melbourne (AUS),Australia/NZ,Plant Pathology,Genetics/Genomics,"secondary metabolism, endophytes",http://www.findanexpert.unimelb.edu.au/display/person15961,Emeritus,
"Longcore, Joyce",U Maine (US),North America,Evolution,Ecology,Chytrids; Batrachochytrium,https://umaine.edu/chytrids/,Emeritus,
"Powell, Martha",University of Alabama (US),North America,Evolution,Cell biology,"chytrids, taxonomy",http://chytrid.as.ua.edu/,Emeritus,
"Aime, Catherine",Purdue Univ (US),North America,Plant Pathology,Evolution,Rust fungi; Evolution; Biodiversity; Biogeography,https://ag.purdue.edu/btny/Pages/Profile.aspx?strAlias=maime,Intermediate,
"Alastruey-Izquierdo, Ana",Instituto de Salud Carlos III (ES),Europe,Medical Mycology,Genetics/Genomics,"Azole resistance, genomics",https://www.isciii.es/QuienesSomos/CentrosPropios/CNM/Micologia/Paginas/default.aspx,Intermediate,
"Andersen, Birgitte",Technical University of Denmark (DK),Europe,Biotechnology,Ecology,"Indoor mycology; Mycotoxins; Biodiversity; Ascomycetes, Taxonomy",http://www.bio.dtu.dk/english/Research/Research-groups/Fungal_Degradation,Intermediate,
"Bachewich, Catherine",Concorida (CA),North America,Medical Mycology,Cell biology,Candida morphogenesis and Cell Cycle,https://www.concordia.ca/artsci/biology/faculty.html?fpid=catherine-bachewich,Intermediate,
"Ballini, Elsa",Montpellier SupAgro (FR),Europe,Plant Pathology,Genetics/Genomics,Magnaporthe oryzae; Rice blast; Genomics; Genetics; Nitrogen metabolism; Defense metabolism; Plant-Microbe interactions,https://www.researchgate.net/profile/Elsa_Ballini,Intermediate,
"Barker, Bridget",N. Arizona Uni (US),North America,Medical Mycology,Genetics/Genomics,Coccidioides,https://www.valley-fever.com/,Intermediate,
"Barnes, Irene","Forestry and Agricultural Biotechnology Institute, Pretoria (ZA)",Africa,Plant Pathology,Genetics/Genomics,Forest Pathology; Taxonomy; Phylogeny; Population genetics; Genomics; Mycosphaerellaceae; Ceratocystis,http://www.fabinet.up.ac.za/index.php/people-profile?profile=957,Intermediate,
"Bertolini, Maria Celia","Instituto de Química, UNESP (BR)",South America,Biochemistry,Genetics/Genomics,"Neurospora; glucose metabolism, transcription factor",,Intermediate,
"Bertuzzi, Margherita",University of Manchester (UK),Europe,Medical Mycology,Cell biology,,https://www.research.manchester.ac.uk/portal/margherita.bertuzzi.html,Intermediate,
"Bignell, Elaine",University of Exeter (UK),Europe,Medical Mycology,Genetics/Genomics,Med Micro; Aspergillus,http://biosciences.exeter.ac.uk/staff/profile/index.php?web_id=Elaine_Bignell,Intermediate,
"Blair, Jaime",Franklin & Marshall,North America,Genetics/Genomics,Evolution,Phylogenetics; Genomics; Oomycetes,http://www.fandm.edu/jaime-blair,Intermediate,
"Bousset-Vaslin, Lydia","INRA, Rennes (FR)",Europe,Plant Pathology,Ecology,Leptosphaeria maculans; Phoma stem canker; Epidemiology; Modeling; Population biology; Metapopulations,https://www6.rennes.inra.fr/igepp_eng/Personnel/B/Bousset-Vaslin-Lydia,Intermediate,
"Brand, Alexandra",Univ of Exeter (UK),Europe,Cell biology,Development,Med Micro; Candida,http://www.abdn.ac.uk/ims/research/microbiology/profiles/a.brand,Intermediate,
"Brem, Rachel",Buck Institute,North America,Genetics/Genomics,Evolution,Genetics; Genomics; Saccharomyces,https://www.buckinstitute.org/bremLab,Intermediate,
"Burgess, Treena",Murdoch University (AU),Europe,Plant Pathology,Ecology,Phytophthora; phylogenetics; forest pathology; population genetics; landscape ecology,http://www.cpsm-phytophthora.org/,Intermediate,Starts summer 2018
"Chadha, Sonia",Bhabha Atomic Research Centre (IN),Asia,Plant Pathology,Biotechnology,"Antifungal peptides, Phylogenomics, Evolution, Transposable Elements, Magnaporthe oryzae",https://www.researchgate.net/profile/Sonia-Chadha-2,Intermediate,
"Chaverri, Priscilla",University of Maryland (US) & Universidad de Costa Rica (CR),North America,Plant Pathology,Evolution,"Systematics, Trichoderma, Endophytes, Plant Pathology",https://psla.umd.edu/people/dr-priscila-chaverri,Intermediate,
"Chowdhary, Anuradha",University of Delhi (IN),Asia,Medical Mycology,Genetics/Genomics,"Antifungal resistance, molecular typing and epidemiology of emerging pathogenic fungi. Candida auris",http://www.vpci.org.in/pageLevel.php?id=11&cat=implinks&subid=47&subcat=implinks_sublinks_sublinks,Intermediate,
"Cowen, Leah",Univ of Toronto (CA),North America,Cell biology,Medical Mycology,Genomics; Functional Genomics; Drug Resistance; Evolution; Candida,http://individual.utoronto.ca/cowen/,Intermediate,
"Crosthwaite, Susan",University of Manchester (UK),Europe,Genetics/Genomics,Signaling,"Neurosora, circadian clock regulation,",http://www.manchester.ac.uk/research/susan.crosthwaite/,Intermediate,
"Crouch, JoAnne",ARS Systematic Mycology Lab (US),North America,Evolution,Plant Pathology,"Genomics, Phylogenetics, Systematics, Oomycete and Fungal emerging pathogens of grasses and ornamentals",http://www.ornamentalpathology.com/,Intermediate,
"Davey, Marie",Univ of Oslo,Europe,Ecology,Evolution,Mycorrhizae; bryophilous fungi; fungal population biology,http://www.mn.uio.no/ibv/personer/vit/marieda/,Intermediate,
"Donofrio, Nicole",Univ Deleware,North America,Genetics/Genomics,Plant Pathology,Magnaporthe; Plant Pathology; Genetics,http://canr.udel.edu/faculty/donofrio-nicole/,Intermediate,
"Dunham, Maitreya",Univ of Washington,North America,Genetics/Genomics,Cell biology,Genetics; Saccharomyces,http://dunham.gs.washington.edu/,Intermediate,
Edith Sanchez Paredes,Universidad Nacional Autonoma de Mexico,North America,Medical Mycology,Cell biology,"Cryptococcus, Candida, Kluyveromyces",,Intermediate,
"Fairhead, Cécile",Univ Paris-Sud 11 (FR),Europe,Evolution,Genetics/Genomics,Evolutionary Biology; Saccharomyces,https://www.researchgate.net/profile/Cecile_Fairhead,Intermediate,
"Foulongne-Oriol, Marie","INRA, Bordeaux (FR)",Europe,Plant Pathology,Genetics/Genomics,Quantitative genetics; QTL; Genomics; Agaricus; Fusarium Head Blight; Mycotoxins,https://www.researchgate.net/profile/Marie_Foulongne-Oriol,Intermediate,
"Fournier, Elisabeth","INRA, Montpellier (FR)",Europe,Plant Pathology,Genetics/Genomics,Magnaporthe oryzae; Rice blast; Population genetics; Population genomics; Tropical plant pathology,https://www.researchgate.net/profile/Elisabeth_Fournier,Intermediate,
"Fryar, Sally","Flinders University, (AUS)",Australia/NZ,Ecology,Evolution,"Freshwater fungi, marine fungi, ascomycete taxonomy, hyphomycete taxonomy",https://www.flinders.edu.au/people/sally.fryar,Intermediate,
"Fudal, Isabelle","INRA, Grignon (FR)",Europe,Plant Pathology,Genetics/Genomics,Leptosphaeria maculans; Phoma stem canker; Genetics; Genomics; Effectors; Plant-Microbe Interactions; Epigenetics,https://www.researchgate.net/profile/Isabelle_Fudal,Intermediate,
"Garzon, Carla",Oklahoma State University (US),North America,Plant Pathology,Genetics/Genomics,Population biology; Soilborne; Pythium; hormesis,http://entoplp.okstate.edu/profiles/profiles/garzon.html,Intermediate,
"Gasch, Audrey",Univ Wisconsin (US),North America,Genetics/Genomics,Biotechnology,Evolution; Genomics; Saccharomyces,http://genetics.wisc.edu/Gasch.htm,Intermediate,
"Gaulin, Elodie",University of Toulouse (FR),Europe,Plant Pathology,Genetics/Genomics,Oomycetes; Genomics; Signaling; Plant-Microbe interactions,https://www.researchgate.net/profile/Elodie_Gaulin,Intermediate,
"Gaya, Ester","Royal Botanical Gardens, Kew (UK)",Europe,Evolution,Ecology,Systematics; Fungal biodiversity; Taxonomy,https://www.kew.org/science/who-we-are-and-what-we-do/people/ester-gaya,Intermediate,
"Gladfelter, Amy","Univ of North Carolina, Chapel Hill",North America,Cell biology,Genetics/Genomics,Fungal Cell Biology; Ashbya,http://gladfelterlab.web.unc.edu/,Intermediate,
"Haden, Helen","Ariculture Victoria, Victoria State Gov (AU)",Australia/NZ,Ecology,Plant Pathology,"Microbial Ecology, Rhizoctonia, Plant-Soil-Microbe interactions, omics",http://agriculture.vic.gov.au/,Intermediate,
"Hadziabdic Guerry, Denita",Univ Tennessee (US),North America,Plant Pathology,Evolution,Population genetics; Molecular Biology; Tree pathology; Diversity; Plant disease,https://ag.tennessee.edu/EPP/Pages/HadziabdicGuerryLab.aspx,Intermediate,
"Hambleton, Sarah",Agriculture and Agri-Food Canada (CA),North America,Evolution,Plant Pathology,"Evolution, Genomics, Rust Fungi",http://www.agr.gc.ca/eng/science-and-innovation/research-centres/ontario/ottawa-research-and-development-centre/scientific-staff-and-expertise/hambleton-sarah-phd/?id=1181939949305,Intermediate,
"Hawkes, Christine",NC State Univ (US),North America,Ecology,Genetics/Genomics,"plant-fungal interactions, phytobiome, endophytes, mycorrhizas, soil fungi",https://sites.cns.utexas.edu/hawkeslab/,Intermediate,
"Hayden, Helen","Agriculture Victoria, Victoria State Gov (AU)",Australia/NZ,Ecology,Plant Pathology,"Microbial Ecology, Rhizoctonia, Plant-Soil-Microbe interactions, omics",http://agriculture.vic.gov.au/,Intermediate,
"Hodge, Kathie",Cornell University (US),North America,Evolution,Plant Pathology,Systematics,http://www.plantpath.cornell.edu/labs/hodge/,Intermediate,
"Hogan, Deborah",Dartmouth Univ (US),North America,Medical Mycology,Genetics/Genomics,Fungal-Bacterial interactions; Candida,https://geiselmed.dartmouth.edu/faculty/facultydb/view.php?uid=2817,Intermediate,
"Hoving, Jennifer Claire",Universtiy of Cape Town,Africa,Medical Mycology,Immunology,"pneumocystis, Emergomyces africanus, C-type lectins",http://www.idm.uct.ac.za/Claire_Hoving,Intermediate,
"Hoyer, Katrina",University of California Merced (US),North America,Immunology,Medical Mycology,Coccidioides; Animal Models; immunity therapies,https://www.ucmerced.edu/content/katrina-k-hoyer,Intermediate,
"Hull, Christina",Univ Wisconsin (US),North America,Medical Mycology,Genetics/Genomics,Med Micro; Cryptococcus,http://bmolchem.wisc.edu/hull.htm,Intermediate,
"Hynson, Nicole","Univ. Hawaii, Manoa (US)",North America,Ecology,Evolution,Community Ecology of Fungi,http://www2.hawaii.edu/~nhynson/Hynson_Lab/Welcome.html,Intermediate,
Isabel Munck,USDA Forest Service (US),North America,Plant Pathology,Ecology,"Forest pathology. forest health, forest management",https://www.researchgate.net/profile/Isabel_Munck,Intermediate,
"Jacobsen, Ilse","HKI, Leibniz (GE)",Europe,Immunology,Medical Mycology,"Animal models, mucosal-pathogen interaciton",https://www.leibniz-hki.de/en/institut-staff-details.html?member=85,Intermediate,
"Jimenez Gasco, Maria Del Mar",Penn State University (US),North America,Plant Pathology,,Fusarium and Verticillium wilts,http://plantpath.psu.edu/directory/mxj22,Intermediate,
"Johannesson, Hanna",Uppsala Univ (SE),Europe,Evolution,Genetics/Genomics,Evolution; Genomics; Neurospora,http://www.iob.uu.se/research/systematic-biology/johannesson,Intermediate,
"Kagami, Maiko","Toho University, Tokyo, Japan",Asia,Ecology,Evolution,"aquatic ecology, chytrid, mycoloop",http://www.lab.toho-u.ac.jp/sci/env/kagami/english/index.html,Intermediate,
"Kidd, Sarah",South Australia Pathology (AU); Univ Adelaide (AU),Australia/NZ,Medical Mycology,,"Antifungals, Human pathogens, Cryptococcus, Aspergillus, Diagnostics",https://mycology.adelaide.edu.au/,Intermediate,
"LeibundGut-Landmann, Salome",University of Zurich (CH),Europe,Immunology,Medical Mycology,"Malassezia, Candida, barrier immunity, IL-17",https://www.vetvir.uzh.ch/de/Research/Immunology.html,Intermediate,
"Limón, Carmen",University of Seville (ES),Europe,Genetics/Genomics,Biotechnology,"Fusarium, secondary metabolism, carotenoid biosynthesis",http://personal.us.es/fraavacor/fg/Home.html,Intermediate,
"Lin, Xiaorong",Texas A&M (US),North America,Medical Mycology,,"Med micro; Cryptococcus, Aspergillus",http://www.bio.tamu.edu/index.php/texas-am-department-of-biology-2/faculty-xiaorong-lin/,Intermediate,
"Loesgen, Sandra",University of Florida (US),North America,Biochemistry,Genetics/Genomics,"Metabolites, Natural Products Chemistry, antifungals",http://loesgenlab.org/index.html,Intermediate,
"Luangsa-Ard, Jennifer",National Center for Genetic Engineering and Biotechnology (BIOTEC) (Thailand),Asia,Evolution,Ecology,Insect fungal diversity,https://www.researchgate.net/profile/Janet_Luangsa-Ard,Intermediate,
"MacCallum, Donna",Univ of Aberdeen (UK),Europe,Medical Mycology,,Virulence; Host-Pathogen interactions; Candida,https://www.abdn.ac.uk/ims/research/microbiology/profiles/d.m.maccallum,Intermediate,
"McGuire, Krista",University of Oregon (US),North America,Ecology,,"mycorrhizal fungi, tropical ecology, urban ecology, human land use",https://mcguiremicrobialecology.com/,Intermediate,
"Morel-Rouhier, Mélanie",University of Lorraine (FR),Europe,Biochemistry,Genetics/Genomics,Phanerochaete chrysosporium; Wood decayers; White rot fungi; Saprophytic fungi; Fungal physiology; Biochemistry; Detoxification; Oxidative stress response; Glutathione transferases,http://mycor.nancy.inra.fr/IAM/?page_id=108,Intermediate,
"Mouriño Pérez, Rosa",CICESE (MX),North America,Cell biology,,Cell biology; Imaging; Neurospora; Aspergillus,http://www.cicese.edu.mx/int/index.php?mod=persacd&dep=6801&op=fpa&numemp=2388,Intermediate,
"Munro, Carol",Univ of Aberdeen (UK),Europe,Cell biology,,Med Micro; Candida,http://www.abdn.ac.uk/ims/profiles/c.a.munro,Intermediate,
"Neuvéglise, Cécile",MICALIS (INRA-AgroParisTech) (FR),Europe,Genetics/Genomics,,Genomics; Cell Biology; Yarrowia,https://www.micalis.fr/Poles-et-Equipes/Pole-Biosys/BIMLip-Nicaud-Neuveglise/Membres-de-l-equipe/Cecile-Neuveglise,Intermediate,
"Nielsen, Kirsten",Unv Minnesota,North America,Medical Mycology,,Med Micro; Cryptococcus,http://www.micab.umn.edu/faculty/Nielsen.html,Intermediate,
"Noble, Suzanne","Univ California, San Francisco",North America,Medical Mycology,,Genetics; Pathogenesis; Candida,http://noblelab.ucsf.edu/users/suzanne-noble,Intermediate,
"Noverr, Mairi",Louisiana State Univ,North America,Medical Mycology,,Med Mycol;,https://www.medschool.lsuhsc.edu/microbiology/faculty_detail.aspx?name=noverr_mairi,Intermediate,
"Nowrousian, Minou",Ruhr University Bochum (DE),Europe,Genetics/Genomics,Development,Development; Genomics; Sordaria; Pyrenophora,http://homepage.ruhr-uni-bochum.de/Minou.Nowrousian/,Intermediate,
"Öpik, Maarja",University of Tartu (EE),Europe,Evolution,Ecology,AMF; Taxonomy;,https://www.botany.ut.ee/planteco/en/staff/maarja_opik.html,Intermediate,
"Orejas, Margarita","Instituto de Tecnología de los Alimentos (IATA, CSIC) (ES)",Europe,Biochemistry,Biotechnology,"Aspergillus, enzyme production",http://w1.iata.csic.es/IATA/dbio/hong/?i=en,Intermediate,
"Parra-Giraldo, Claudia M.",Pontificia Universidad Javeriana (CO),South America,Medical Mycology,Cell biology,"Antifungals, Resistance, Candida, Cryptococcus, Aspergillus",http://ciencias.javeriana.edu.co/gei/integrantes,Intermediate,
"Partida-Martínez, Laila",Cinvestav (MX),North America,Plant Pathology,Genetics/Genomics,Bacteria-Fungi interactions; Plant Microbe Interactions; Plant Pathology,http://www.ira.cinvestav.mx/LMI.aspx,Intermediate,
"Pastor-Fuentes, Victoria",University Jaume I (ES),Europe,Plant Pathology,Signaling,"Induced resisitance, priming, plant defense, plant-microbe interaction, metabolomics.",​www.nitropriming.wordpress.com,Intermediate,
"Pawlowska, Teresa",Cornell University (US),North America,Evolution,Genetics/Genomics,Plant Microbe Interactions; Evolution; Arbuscular Mycorrhizal Fungi,http://www.plantpath.cornell.edu/labs/pawlowska/Teresa.html,Intermediate,
"Pöggeler, Stefanie",Georg-August-Universität (DE),Europe,Development,Evolution,Development; Genetics; Sordaria,https://www.uni-goettingen.de/en/prof-dr-stefanie-poumlggeler/435740.html,Intermediate,
"Pohl, Carolina",University of the Free State (RSA),Africa,Genetics/Genomics,,"oxylipin signaling, spore development",http://natagri.ufs.ac.za/templates/staffmember.aspx?DCode=112&pid=2a%2FOeZ9e6Eo%3D,Intermediate,
"Porras-Alfaro, Andrea",Western Illinois Univ,North America,Ecology,Genetics/Genomics,Mycology; Evolution,http://www.wiu.edu/cas/biological_sciences/faculty/porrasalfaro.php,Intermediate,
"Pringle, Anne",Univ Wisconsin (US),North America,Ecology,Evolution,Ecology; Evolution; Mushrooms,http://www.botany.wisc.edu/pringlelab/,Intermediate,
"Ramirez, Lucia",University of Navarra (ES),Europe,Genetics/Genomics,Biotechnology,"Pleurotus, biotechnology, mushroom development",http://www.unavarra.es/dep-produccionagraria/personal/personal-docente-e-investigador?rangoLetras=rst&uid=425,Intermediate,
"Rao, Reeta",Worcester Polytechnic Institute (US),North America,Medical Mycology,Genetics/Genomics,Virulence factors; Immunity; cell biology,https://www.wpi.edu/people/faculty/rpr,Intermediate,
"Ridgway, Hayley",Lincoln Univeristy (US),Australia/NZ,,,"Mycorrhiza, biocontrol",http://www.lincoln.ac.nz/staff?letter=R&page=1&StaffID=RIDGWAY&filtercsv=false&title=false&intro=false&maxrows=false&noframe=false&facultybu=false&ludepartment=false&first=false&tab=false,Intermediate,
"Robertson, Alison",Iowa State Univ (US),North America,Plant Pathology,,"Plant Pathology, corn and soybean diseases, inc. emerging diseases (Extension)",https://www.plantpath.iastate.edu/people/alison-robertson,Intermediate,
"Rosling, Anna",Uppsala Univ (SE),Europe,Evolution,Ecology,Evolution; Molecular Ecology; Archaeorhizomycetes,http://www.ieg.uu.se/evolutionary-biology/rosling/,Intermediate,
"Rosso, Marie-Noelle","INRA, Marseille (FR)",Europe,Genetics/Genomics,Biotechnology,Cell wall degrading enzymes; Wood decayers; CAZymes,,Intermediate,
"Rusche, Laura",University at Buffalo (US),North America,Cell biology,Genetics/Genomics,Chromatin; Saccharomyces,https://arts-sciences.buffalo.edu/biological-sciences/faculty/faculty-directory/laura-rusche/rusche-lab.html,Intermediate,
"Saunders, Diane",John Innes Centre (UK),Europe,Plant Pathology,,field pathogenomics,https://www.jic.ac.uk/directory/diane-saunders/,Intermediate,
"Schuldiner, Maya",Weizmann Institute (IL),Europe,Cell biology,Genetics/Genomics,Functional genomics of organelles,http://mayaschuldiner.wixsite.com/schuldinerlab,Intermediate,
"Schumacher, Julia",BAM - Berlin (GE),Europe,Cell biology,Genetics/Genomics,"Knufia, Botrytis, plant pathology",https://scholar.google.com/citations?user=R-q6dCMAAAAJ&hl=de,Intermediate,
"Selbmann, Laura",Univ Tuscia (IT),Europe,Ecology,Evolution,Extremophiles; Endolithic microbes; Antarctica and Polar Biology,http://olddafne.unitus.it/web/interna.asp?idPag=3265,Intermediate,
"Selmecki, Anna",University of Minnesota (USA),North America,Genetics/Genomics,Evolution,Genome Instability; Saccharomyces; Candida,http://www.selmeckilab.com/,Intermediate,
"Sesma, Anne",Univ. Politécnica MADRID (ES),Europe,Genetics/Genomics,Plant Pathology,Plant path; Magnaporthe,http://www.anesesma.org/research.htm,Intermediate,
"Stukenbrock, Eva",MPI-Kiel (DE),Europe,Evolution,Genetics/Genomics,Evolution; Population Genetics; Zymoseptoria,https://www.envgenomics.botanik.uni-kiel.de/en/eva-h.-stukenbrock,Intermediate,
"Sukno, Serenella A.",University of Salamanca (USAL),Europe,Genetics/Genomics,Plant Pathology,Plant-Microbe interactions; Colletotrichum,http://bioinformatica.vil.usal.es,Intermediate,
"Thevissen, Karin",Katholieke Universiteit Leuven (BE),Europe,,,"Candida; biofilms, antimicrobial peptides",https://bio.kuleuven.be/pf/functional_biology/staff-1/00016699,Intermediate,
"Traven, Ana",Monash Univ (AUS),Australia/NZ,Medical Mycology,,Candida pathogenesis; mitochondria,http://www.med.monash.edu.au/biochem/staff/traven.html,Intermediate,
"Troemel, Emily","Univ California, San Diego",North America,Genetics/Genomics,Cell biology,Pathogenesis; Microsporidia,http://labs.biology.ucsd.edu/troemel/,Intermediate,
Ulrike Binder,Medical University of Innsbruck (AT),Europe,Medical Mycology,,"Mucormycetes, molds, antifungals, alternative models",https://www.i-med.ac.at/hygiene/forschungsbindercvv2.html.de,Intermediate,
"Untereiner, Wendy","Brandon University, MB (Canada)",North America,Evolution,Plant Pathology,Taxonomy; phylogeny; pyrenomycetes,http://people.brandonu.ca/untereiner/,Intermediate,
"Veneault-Fourrey, Claire",University of Lorraine (FR),Europe,Genetics/Genomics,Signaling,Ectomycorrhizal fungi; Symbiosis; Genomics; Signaling; Plant-Microbe interactions,http://mycor.nancy.inra.fr/IAM/?page_id=708,Intermediate,
"Viaud, Muriel","INRA, Grignon (FR)",Europe,Plant Pathology,Genetics/Genomics,Botrytis; Necrotrophy; Enzymes; Genomics; Fungicides; Secondary metabolism; Cell wall,https://www.researchgate.net/profile/Muriel_Viaud,Intermediate,
"Vilkova, Slavena",Hans-Knoll Institute (DE),Europe,Immunology,Genetics/Genomics,host fungal interaction,https://www.leibniz-hki.de/en/staff-details.html?member=846,Intermediate,
"Walker, Anne-Sophie","INRA, Grignon (FR)",Europe,Plant Pathology,Evolution,"Botrytis, Septoria, Fungicide-resistance, population survey, population dynamics",https://www.researchgate.net/profile/Anne-Sophie_Walker,Intermediate,
"Yahr, Rebecca",Royal Botanical Gardens Edinburgh (UK),Europe,Ecology,Evolution,Lichen; Symbiosis,https://rbg-web2.rbge.org.uk/lichen/staff_profiles/yahr/rebecca_yahr.html,Intermediate,
"Young, Carolyn",Noble Foundation,North America,Genetics/Genomics,Plant Pathology,Endophyte; Genomics; Epichloe,http://www.noble.org/staff/young-carolyn/,Intermediate,
"Zalante, Teresa",University of Perugia (IT),Europe,Immunology,Medical Mycology,,https://www.unipg.it/personale/teresa.zelante,Intermediate,
"Zhang, Ning",Rutgers University,North America,Evolution,Plant Pathology,"phylogeny, phylogenomics, plant pathogens; bidiversity",http://plantbiopath.rutgers.edu/faculty/zhang/Ning_Zhang.html,Intermediate,
"Zuccaro, Alga",Univ Cologne (DE),Europe,Ecology,Genetics/Genomics,Plant-Microbe interactions; Ectomycorrhizal Fungi,http://ceplas.eu/en/faculty/alga-zuccaro/,Intermediate,
"Adams, Rachel","Univ California, Berkeley (US)",North America,Ecology,Evolution,Indoor mycology; Microbial Ecology,,Junior,
"Alcazar-Fuoli, Laura",Instituto de Salud Carlos III (ES),Europe,Medical Mycology,Genetics/Genomics,"Azole resistance, genomics",https://www.isciii.es/QuienesSomos/CentrosPropios/CNM/Micologia/Paginas/default.aspx,Junior,
"Arrieta, Marie-Claire",University of Calgary,North America,Genetics/Genomics,Immunology,"microbiome, metabolism, immunology",https://www.arrietalab.com/,Junior,
"Ballou, Elizabeth",Univ of Exeter (UK),Europe,Medical Mycology,Genetics/Genomics,Cell Biology; Titan cells; Cryptococcus; Rhizopus; endosymbionts,http://biosciences.exeter.ac.uk/staff/profile/?web_id=elizabeth_ballou,Junior,
"Barber, Amelia","HKI, Leibniz",Europe,Medical Mycology,Genetics/Genomics,"Ecology, pathogenicity, bioinformatics",https://www.leibniz-hki.de/en/fungal-informatics.html,Junior,
"Beattie, Sarah",University of Iowa (US),North America,Medical Mycology,Biotechnology,Aspergillus; antifungals;,https://labbeattie.prod.drupal.uiowa.edu/,Junior,
"Benoit, Isabelle",Concordia (CA),North America,Biotechnology,Genetics/Genomics,Aspergillus,https://www.concordia.ca/artsci/biology/faculty.html.html?fpid=isabelle-benoit-gelber,Junior,
"Bensasson, Douda",University of Georgia (US),North America,Evolution,Genetics/Genomics,"population genetics, bioinformatics, wild Saccharomyces, Candida",http://www.plantbio.uga.edu/directory/people/douda-bensasson,Junior,
"Beyhan, Sinem",J. Craig Venter Institute (US),North America,Medical Mycology,Genetics/Genomics,"Histoplasma, heat shock, genomics",https://www.jcvi.org/about/sinem-beyhan,Junior,
"Boynton, Primrose",Wheaton College Massachusetts (US),North America,Evolution,Ecology,"Wild yeast, evolution, Saccharomyces paradoxus",https://departments.wheatoncollege.edu/faculty/boynton-primrose/,Junior,
"Branco, Sara",University of Colorado-Denver (US),North America,Ecology,Evolution,Adaptation; Population Genomics; Comparative Genomics; Community Ecology; Fungal Diversity,https://saramayerbranco.wixsite.com/brancolab,Junior,
"Bransgrove, Kaylene",Queensland Plant Pathology Herbarium,Australia/NZ,Evolution,Ecology,Taxonomy; phylogeny,https://gcc02.safelinks.protection.outlook.com/?url=http%3A%2F%2Fcollections.daf.qld.gov.au&data=02%7C01%7C%7C7e583cfe8ed943d926cf08d730cdc066%7Ced5b36e701ee4ebc867ee03cfa0d4697%7C0%7C0%7C637031532573027882&sdata=CTzRo8S%2F%2BRKnvLhkiNOba7RU4ouyL2qi04R80m%2FK9OE%3D&reserved=0,Junior,
"Brewer, Marin",Univ Georgia (US),North America,Plant Pathology,Genetics/Genomics,Evolution; Population genetics; Plant Pathology,http://plantpath.caes.uga.edu/personnel/faculty/Brewer.html,Junior,
"Brown, Jessica",Univ of Utah (US),North America,Genetics/Genomics,Medical Mycology,Med Micro; Cryptococcus,http://www.bioscience.utah.edu/faculty/molecular-biology-faculty/brown/,Junior,
